,price,propertyType,size,exterior,rooms,bathrooms,address,province,municipality,latitude,longitude,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,highlight
0,335000.0,flat,136.0,True,3,2,SIGRID,Madrid,Rivas-Vaciamadrid,40.3521597,-3.5183422,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",2463.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
1,1650000.0,flat,179.0,True,2,3,Calle del Príncipe de Vergara,Madrid,Madrid,40.4335933,-3.6777883,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",9218.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
2,770000.0,flat,109.0,True,2,2,barrio Ibiza,Madrid,Madrid,40.416551,-3.6729215,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",7064.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
3,175000.0,flat,49.0,True,1,1,"Calle de los Morales, 10",Madrid,Madrid,40.3619938,-3.7563605,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 25000.0}",3571.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
4,280000.0,flat,121.0,True,4,2,Calle del Río Ulla,Madrid,Madrid,40.4329819,-3.6433707,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2314.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
5,270000.0,duplex,110.0,True,4,2,Calle Ordesa,Madrid,Rivas-Vaciamadrid,40.3740844,-3.5283116,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2455.0,"{'typology': 'flat', 'subTypology': 'duplex'}",{'groupDescription': 'Destacado'}
6,231900.0,flat,119.0,True,4,2,Camino viejo de leganes,Madrid,Madrid,40.383448,-3.7289811,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 20000.0}",1949.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
7,190000.0,penthouse,44.0,True,1,1,Calle de la Verja,Madrid,Madrid,40.3834643,-3.7148596,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4318.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",{'groupDescription': 'Destacado'}
8,385000.0,flat,77.0,True,3,2,"Calle Isla Malaita, 7",Madrid,Madrid,40.4740721,-3.7221468,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",5000.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
9,390000.0,chalet,265.0,False,3,3,Reyes Católicos,Madrid,Alcalá de Henares,40.4720933,-3.3685231,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1472.0,{'typology': 'chalet'},{'groupDescription': 'Destacado'}
10,135000.0,flat,51.0,False,3,1,Calle Alfaro,Madrid,Madrid,40.3916882,-3.7374887,renew,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2647.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
11,465000.0,flat,146.0,True,4,2,Avenida de Logroño,Madrid,Madrid,40.4694365,-3.5797495,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3185.0,{'typology': 'flat'},{'groupDescription': 'Destacado'}
