,index,propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,floor,highlight,labels,newDevelopmentFinished
0,0,103262892,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/84/0d/1183713096.jpg,ATC0001,38,442000.0,penthouse,sale,125.0,True,2,1,Avenida del Camino de Santiago,Madrid,Madrid,Fuencarral,es,Las Tablas,40.5064893,-3.6731304,False,https://www.idealista.com/inmueble/103262892/,55,"SIN COMISIÓN DE AGENCIA AL COMPRADOR. Atico espectacular en la zona más demandada de Las Tablas. Junto a Telefónica, y en una exclusiva urbanización construida por Colonial, ganadora de un prestigioso premio de arquitectura. Con dos habitaciones, un baño, cocina independiente y gran salón con salida a increíble terraza de 30 m2 con orientación este con vistas despejadas que aportan luminosidad a toda la vivienda. El precio incluye plaza de garaje y trastero. Las zonas comunes ajardinadas permiten disfrutar de dos piscinas con solarium ubicadas en la zona central y de un gimnasio en la propia comunidad, así como de zona infantil y sala de celebraciones. En los bajos del edificio hay supermercado, farmacia, restaurantes, oficina de Correos, banco y el metro ligero a tan solo 100 m. También comunicado por varias líneas de autobús que paran a escasos metros y cercano a la salida a la A-1 y M-40. Frente al edificio se encuentran las oficinas de FCC, Ciudad de Telefónica y edificio BBVA, así como múltiples empresas globales con sede en Las Tablas. Ven a verlo, tanto si te gusta para vivir o para invertir. [IW].",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3536.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Las Tablas, Madrid', 'title': 'Ático en Avenida del Camino de Santiago'}",True,False,False,False,False,False,,,,
1,1,103111684,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/67/05/1178676890.jpg,,34,290000.0,flat,sale,62.0,True,1,1,Calle San Juan de Ortega,Madrid,Madrid,Fuencarral,es,Las Tablas,40.5066338,-3.6734881,False,https://www.idealista.com/inmueble/103111684/,89,"Gran oportunidad de VIVIENDA A ESTRENAR, lista para su ENTREGA INMEDIATA en el Barrio de Las Tablas, que forma parte del distrito de Fuencarral-El Pardo.  UBICACIÓN QUE DESTACA POR LA TRANQUILIDAD Y LA COMODIDAD Las Tablas es un barrio mayoritariamente residencial y familiar, que combina la tranquilidad de un entorno residencial con la comodidad de contar con todos los servicios esenciales a tu alcance, desde colegios y supermercados hasta centros de salud y centros deportivos. Esta ubicación también es conocida por ser el hogar de las sedes de importantes compañías como Telefónica, Dragados y Construcciones, FCC, CASER, BMW, Renault, Peugeot, Hyundai, Huawei España y el banco BBVA, lo que la convierte en un lugar de gran atractivo para profesionales y familias por igual. La proximidad a Plaza Castilla, a solo 5 minutos en coche, te conecta fácilmente con el centro de Madrid y otras zonas clave de la ciudad. Además, el Barrio de Las Tablas ofrece una excelente conectividad a través del Metro y el Metro Ligero, con paradas a escasos metros de esta promoción de viviendas. La vivienda en sí se encuentra en una atractiva urbanización cerrada que brinda un estilo de vida de calidad. Entre las comodidades que ofrece, destacan la piscina con zonas para adultos y niños, aseos y vestuarios, las pistas de pádel, el gimnasio, área de juegos infantiles, mobiliario urbano y amplias zonas ajardinadas. Es el lugar perfecto para relajarse y disfrutar de tu tiempo libre. VIVIENDA En cuanto a la vivienda en sí, cuenta con un diseño funcional que incluye un hall, distribuidor, amplio salón-comedor, 1 dormitorio, baño y una cocina independiente.  El suelo de tarima en haya con rodapié a juego añade un toque de elegancia y confort, mientras que el suelo de gres en cocina y baños garantiza durabilidad y fácil limpieza.  El baño principal está revestido de mármol blanco con una cenefa de travertino y una encimera de mármol, lo que agrega un toque de lujo.  La cocina está equipada con muebles de gran capacidad, horno eléctrico empotrado, placa vitrocerámica, campana extractora de humos decorativa y microondas empotrable, todo en acero inoxidable, y una encimera de granito.  Además, la vivienda cuenta con calefacción y agua caliente sanitaria mediante caldera individual estanca de gas natural, con un termostato programador en el salón, y preinstalación de aire acondicionado. No dejes pasar esta oportunidad de vivir en una de las zonas más deseadas de Madrid.  Contacta hoy mismo para obtener más información y programar una visita.  ¡Tu nuevo hogar en Las Tablas te espera!",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4677.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso en Calle San Juan de Ortega'}",True,False,False,False,False,False,2,,,
2,2,100840691,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/1a/af/1100677267.jpg,SIN HONORARIOS. Ref. ATSA1,42,595000.0,penthouse,sale,112.0,True,2,1,Avenida del Camino de Santiago,Madrid,Madrid,Fuencarral,es,Las Tablas,40.507203,-3.6726557,False,https://www.idealista.com/inmueble/100840691/,111,"SIN HONORARIOS DE AGENCIA. Exclusivo ático con terraza de 30 metros aprox. en urbanización de lujo con dos piscinas, gimnasio, sala de eventos, preciosos jardines y seguridad 24 horas. Consta de salón, cocina completamente equipada con electrodomésticos Miele, dos amplios dormitorios con grandes armarios y un baño completo. Plaza de garaje por 25.000€ adicionales. Trastero incluido en el precio. Aire acondicionado. Calefacción y agua caliente individual de gas natural. Paredes lisas, aire acondicionado, altas calidades. Comunidad piso 85€/ mes Comunidad garaje 55€/ Trimestre IBI 700€/ Año aprox. Excelentes comunicaciones: Metro Las Tablas a 200 mts, metro Palas del Rey a 600 mts. Buses: 170,172, 172SF, 175, 176, T61. Tren C4a y C4b. Zona de máxima actividad comercial, de ocio, restaurantes, prestigiosos colegios, guarderías, gimnasios, clubs deportivos, parques, supermercados y hoteles. Junto a BBVA, Telefónica, Nokia, Mediaset-Telecinco, Cofares. Fácil acceso a la Moraleja, El Encinar de los Reyes, A-1 y M-40. Disponibilidad total para visitas.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 25000.0}",5313.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Las Tablas, Madrid', 'title': 'Ático en Avenida del Camino de Santiago'}",True,False,False,False,False,False,7,,,
3,3,103262123,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/17/14/1192408499.jpg,M005,1,579000.0,flat,sale,110.0,True,3,2,barrio Las Tablas,Madrid,Madrid,Fuencarral,es,Las Tablas,40.5049222,-3.6721941,False,https://www.idealista.com/inmueble/103262123/,146,"¡Este inmueble cuenta con 3 dormitorios, perfecto para una familia, y 2 baños completos. El salón comedor independiente, la habitación principal cuenta con baño en suite. Los suelos de tarima y los armarios empotrados.  Además, el ascensor te permitirá acceder fácilmente al tercer piso, lo que hace que este inmueble sea perfecto para personas mayores o con movilidad reducida. Este piso está listo para entrar a vivir. Mejor ver.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5264.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso'}",False,False,False,False,False,False,3,,,
4,4,102911387,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/3e/f8/1171509044.jpg,SA - REDECILLA DEL CAMINO,35,615000.0,flat,sale,163.0,True,3,2,Calle Redecilla del Camino,Madrid,Madrid,Fuencarral,es,Las Tablas,40.505439,-3.6705007,False,https://www.idealista.com/inmueble/102911387/,196,"Las Tablas. Calle Redecilla del Camino. Vivienda con tres dormitorios, salón, cocina independiente, dos baños, trastero y plaza de garaje. El inmueble, se encuentra situado en el barrio de Las Tablas, perteneciente al distrito de Fuencarral-El Pardo, en la calle Redecilla del Camino y se sitúa en una cuarta planta exterior. Se compone de: - Vestíbulo de entrada con acceso a un amplio y luminoso salón con terraza; - Cómoda cocina con office y salida a la terraza; - Un espacioso dormitorio principal con baño completo en suite; - Dos dormitorios; - Un baño completo con plato de ducha; - Trastero; - Plaza de garaje. Todas las estancias son amplias y las habitaciones cuentan con cómodos armarios empotrados. Aire acondicionado y la calefacción es individual por gas. La finca, cuenta con piscina, pista de pádel y gimnasio y se encuentra rodeada de varios comercios, de colegios y estructuras deportivas. Servicio de conserjería las 24 horas. La vivienda está bien comunicada con el resto de la ciudad gracias a su cercanía con M40, M30, M11, A1 y a cinco minutos andando del metro ligero. “Las Tablas es un área residencial del barrio de Valverde, en el distrito de Fuencarral-El Pardo de la ciudad de Madrid (España). Surgió como un Programa de Actuación Urbanística (PAU), a raíz de la elaboración del Plan General de Ordenación Urbana de 1997 y construido a principios de la década del año 2000. Está situado al oeste de la autovía A-1, al este de la línea férrea Madrid-Burgos y al sur de la calle Nuestra Señora de Valverde. Las Tablas colinda al sureste con y al oeste con Montecarmelo, Tres Olivos y el casco histórico de Fuencarral. Al norte colinda con el municipio de Alcobendas”.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3773.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso en Calle Redecilla del Camino'}",True,False,False,False,False,False,4,,,
5,5,103556794,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/82/98/1193250185.jpg,,11,450000.0,flat,sale,105.0,True,2,2,"Calle Grañón, 10",Madrid,Madrid,Fuencarral,es,Las Tablas,40.5061649,-3.6750572,True,https://www.idealista.com/inmueble/103556794/,207,"MAGERIT HOMES, les presenta piso de 105 m² según Catastro, en la zona de Las Tablas, cerca del metro Línea 10, y al lado del nuevo Centro de Salud en excelente condiciones La distribución de la vivienda consta de salón-comedor, cocina independiente, tres dormitorios con sus armarios empotrados, dos cuartos de baño, el principal en suite, hall, pasillo distribuidor. Dispone de puerta blindada, el mobiliario de cocina en buenas condiciones, los cerramientos exteriores de aluminio con acristalamiento tipo climalit, puertas y armarios empotrados lacados en blanco, paredes lisas, calefacción de radiadores, aire acondicionado por conducto, suelo de madera en buenas condiciones, Renta Libre y de altas calidades, etc. Cuenta con ascensor, rampa de acceso para personas con movilidad reducida y servicio de conserjería con excelentes zonas comunes, gimnasio, pista de pádel, salón comunitario, piscina, zona juego infantil, zona verde, con cámaras de seguridad, conserje 24 h. Una plaza de garaje y trastero incluido en el precio. Su ubicación es una de las mejores en la zona de Las Tablas. Con zonas verdes a sus alrededores supermercados, farmacias, guarderías, con buenos colegios, bancos y un nuevo Centro de Salud. En Las Tablas se encuentra el kilómetro 0 del Anillo Verde Ciclista de Madrid. Se trata de una vía ciclista y peatonal muy utilizada a diario por los ciudadanos, la cual circunvala la ciudad de Madrid en sus más de 60 km.  Con fácil acceso a la A-1, M 11, M-40 y M-607. Transportes Autobuses Las líneas 1 76, y T61. En cuanto al transporte nocturno, da servicio la línea N24. Metro Las líneas10 y ML-1.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4286.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso en Calle Grañón, 10'}",False,False,False,False,False,False,2,,,
6,6,103372466,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/f9/df/1187420335.jpg,10007993,28,461000.0,flat,sale,123.0,True,2,2,Calle Viloria de La Rioja,Madrid,Madrid,Fuencarral,es,Las Tablas,40.5055867,-3.6701976,False,https://www.idealista.com/inmueble/103372466/,214,"Se ofrece a la venta un encantador piso de dos habitaciones situado en una excepcional urbanización en la codiciada calle Viloria de la Rioja, en Madrid. Este inmueble destaca por su elegancia y comodidades modernas. El piso presenta una distribución inteligente y espacios bien iluminados. La sala de estar ofrece un ambiente acogedor para el disfrute familiar, mientras que la cocina, completamente equipada, se integra perfectamente al diseño, asegurando funcionalidad y estilo. Las dos habitaciones del piso proporcionan comodidad y espacio, con armarios empotrados para un óptimo almacenamiento. Además, cuenta con un baño completo y un balcón/terraza que complementa perfectamente el área habitable. La urbanización ofrece una gama de servicios exclusivos como zonas verdes, piscina, gimnasio y seguridad las 24 horas. Esta ubicación privilegiada garantiza acceso a servicios comerciales, transporte público y áreas recreativas, brindando una experiencia de vida cómoda y llena de comodidades. En resumen, este piso de dos habitaciones en la calle Viloria de la Rioja representa una oportunidad única para aquellos que buscan calidad y comodidad en una de las mejores zonas de Madrid.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3748.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso en Calle Viloria de La Rioja'}",True,False,True,False,False,False,1,{'groupDescription': 'Destacado'},,
7,7,102495569,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c4/0f/1e/1169330332.jpg,11675,58,327500.0,flat,sale,62.0,True,1,1,"Calle Grañón, 8",Madrid,Madrid,Fuencarral,es,Las Tablas,40.50661,-3.67532,True,https://www.idealista.com/inmueble/102495569/,234,"¡Descubre Tu Nuevo Hogar en Las Tablas, Madrid! Da un paso hacia una vida de confort y exclusividad en esta vivienda perfectamente distribuida de 62 metros cuadrados construidos. Imagina empezar cada día en tu acogedor dormitorio, disfrutando de un café matutino en tu amplio salón, con una cocina con armarios altos y bajos de gran capacidad y con salida a una zona exterior privada.  Dispone de un baño con ventana con las mejores calidades como mármol que promete confort y calidad.  Toda la casa con paredes de pintura lisa que aportan un toque contemporáneo y ventanas de alta calidad que garantizan un aislamiento óptimo, cada rincón de esta casa ha sido diseñado pensando en tu bienestar.  El suelo de tarima flotante aporta una sensación de calidez y elegancia a toda la vivienda, creando un ambiente hogareño y sofisticado que seguro te encantará. El salón, independiente tiene dos zonas diferenciadas para comedor y zona de esta y con un gran ventanal dando al recinto, desde donde disfrutar de la claridad y de las vistas a la piscina y a los jardines.  Desde la cocina se sale a tu oasis particular, un excepcional patio privado de 22 metros cuadrados. Este espacio, no solo funciona como una extensión natural de tu sala de estar, sino también como un refugio privado donde puedes cultivar un pequeño jardín, organizar encuentros al aire libre o simplemente disfrutar de un momento de tranquilidad con un buen libro. Es tu pedacito de cielo, una extensión de tu hogar que te permite disfrutar de las bondades de la naturaleza en tu propia casa. Situado en Urbanización Privada donde cada detalle ha sido cuidadosamente planificado para garantizar tu comodidad y seguridad. Con un portero, siempre puedes estar seguro de que tu hogar está bien cuidado. Pero eso no es todo; aquí, cada día es una oportunidad para disfrutar de las instalaciones de la comunidad que incluyen una refrescante piscina, una cancha de pádel para mantener la forma y zonas infantiles que prometen horas de diversión para los más pequeños.  Además, no tendrás que preocuparte por el estacionamiento, ya que la propiedad viene con una plaza de garaje con bajada directa desde la vivienda en ascensor y un trastero, facilitando así la organización y seguridad de tus bienes. Tiene fácil y rápida salida/ acceso a A1, M40 y M30 Las Tablas Un Barrio en Ascenso: Las Tablas, una zona que representa lo mejor de Madrid, con su equilibrio perfecto entre la modernidad urbana y la serenidad de la naturaleza. Al elegir vivir aquí, te posicionas en una de las áreas con mayor proyección de la ciudad, un lugar donde la innovación se encuentra con la tradición y la comodidad se cruza con el estilo. Con una ubicación estratégica, Las Tablas ofrece una excelente conectividad con otras partes de Madrid, lo que facilita los desplazamientos diarios. Además, estarás rodeado de una amplia gama de servicios y amenidades que harán tu vida más cómoda y agradable. Calidad de Vida mas allá de las comodidades físicas, Las Tablas te promete una calidad de vida sin igual. Aquí, podrás disfrutar de áreas verdes, espacios para caminar, una comunidad vibrante y una selección de restaurantes y tiendas que reflejan la rica cultura de Madrid. ¡Así que no esperes más!.  Haz de este piso tu nuevo hogar y comienza a vivir la vida que siempre has soñado en Las Tablas, Madrid.  ¡Tu nueva vida de confort, lujo y tranquilidad te espera! *Certificación Energética: “D"".Impuestos y gastos NO INCLUIDOS: ITP, IVA, IAJD, Notaría, Registro, Gestoría, Tasación, etc…. Si te hace falta te realizamos un estudio financiero y te ayudamos a conseguir tu préstamo hipotecario ¡gratuitamente! y por supuesto si necesitas ampliar información ¡Llámanos!",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5282.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso en Calle Grañón, 8'}",True,False,True,False,False,False,1,{'groupDescription': 'Destacado'},,
8,8,102905435,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/64/ae/1171329339.jpg,SA - REDECILLA DEL CAMINO,59,1100000.0,flat,sale,325.0,True,7,4,Calle Redecilla del Camino,Madrid,Madrid,Fuencarral,es,Las Tablas,40.5047652,-3.670511,False,https://www.idealista.com/inmueble/102905435/,237,"Las Tablas. Calle Redecilla del Camino. Vivienda con siete, salón, cocina independiente, cuatro baños, dos trasteros y dos plazas de garaje. TOUR VIRTUAL AL FINAL DEL ANUNCIO El inmueble, se encuentra situado en el barrio de Las Tablas, perteneciente al distrito de Fuencarral-El Pardo, en la calle Redecilla del Camino y se sitúa en una cuarta planta exterior. Se compone de: - Vestíbulo de entrada con acceso a un amplio y luminoso salón con salida a la terraza; -Cómoda cocina con office y salida a la terraza; -Un espacioso dormitorio principal con baño completo en suite; - Seis dormitorios; -Dos baños completos con plato de ducha; - Dos trasteros; - Dos plazas de garaje. Todas las estancias son amplias y las habitaciones cuenta con cómodos armarios empotrados. Aire acondicionado y la calefacción es individual por gas. La finca, cuenta con piscina, pista de pádel y gimnasio y se encuentra rodeada de varios comercios, de colegios y estructuras deportivas. Servicio de conserjería las 24 horas. La vivienda está bien comunicada con el resto de la ciudad gracias a su cercanía con M40, M30, M11, A1 y a cinco minutos andando del metro ligero. “Las Tablas es un área residencial del barrio de Valverde, en el distrito de Fuencarral-El Pardo de la ciudad de Madrid (España). Surgió como un Programa de Actuación Urbanística (PAU), a raíz de la elaboración del Plan General de Ordenación Urbana de 1997 y construido a principios de la década del año 2000. Está situado al oeste de la autovía A-1, al este de la línea férrea Madrid-Burgos y al sur de la calle Nuestra Señora de Valverde. Las Tablas colinda al sureste con y al oeste con Montecarmelo, Tres Olivos y el casco histórico de Fuencarral. Al norte colinda con el municipio de Alcobendas”.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3385.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso en Calle Redecilla del Camino'}",True,False,False,False,False,False,4,,,
9,9,96288360,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/56/ce/942839208.jpg,tablas,46,530000.0,flat,sale,107.0,False,3,2,barrio Las Tablas,Madrid,Madrid,Fuencarral,es,Las Tablas,40.5076303,-3.6702471,False,https://www.idealista.com/inmueble/96288360/,254,"VERALSA INMOBILIARIA OFRECE EN EXCLUSIVA, este magnifico piso de alto standing, se encuentra en Calle Redecilla del Camino, 28050, Madrid, Madrid, en la planta 5º. Es un piso que tiene 107m2 y dispone de 3 habitaciones y 2 baños. ACTUALMENTE PARALIZADO, POR MOTIVOS PERSONALES. BUSCAS UNA VIVIENDA EN UNA ZONA PRIVILIGIADA? ES TU VIVIENDA. Se trata de un inmueble con orientación, suroste. Incluye 2 plazas de garaje y trastero, el dormitorio principal cuanta con baño en suite y vestidor. Los demas dormitorios cuentan con armarios empotrados, las ventanas son de climalit, cocina equipada con salida a tendedero, el salon es independiente, suelo parquet, con vistas a la urbanizacion, cuenta con gas natural, buen estado, pintura lisa, ascensor, cámaras de seguridad, luminoso, urbanizacion privada, jardín comunitario, puerta blindada, zona infantil, piscina comunitaria, conserje, calefacción por domotica, zona verde vigilancia 24h, trastero incluido y con acceso personas con movilidad reducida. Una zona priviligiada de las tablas, un lugar donde muchos quisieran vivir. Deseas vivir en una zona asi? No te lo pienses y llamanos. Empresa especializada a la venta de viviendas y terrenos en la zona norte de Madrid. Trabajamos por y para tu tranquilidad Encuentra más en.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4953.0,{'typology': 'flat'},"{'subtitle': 'Las Tablas, Madrid', 'title': 'Piso'}",False,False,False,False,False,False,5,,,
