,level_0,index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,highlight,labels,newDevelopmentFinished
0,0,0,101675237,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/8e/f6/1130011624.jpg,VENTAF-CAMINO,22,2,138795.0,flat,sale,72.0,True,3,1,barrio Vírgenes,Madrid,Leganés,Centro,es,Vírgenes,40.3280976,-3.7716597,False,https://www.idealista.com/inmueble/101675237/,77,"Vivienda en 2ª planta en edificio construido en 1966. 3 dormitorios, baño, cocina independiente. Amplio y luminoso salón-comedor. En zona consolidada de Leganes con todos los servicios. Bien comunicado. Sin comisión al comprador!",False,good,False,False,1928.0,{'typology': 'flat'},"{'subtitle': 'Vírgenes, Leganés', 'title': 'Piso'}",True,False,False,False,False,False,,,,
1,1,1,102097569,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/f5/94/1181026784.jpg,VI-000-020-713-996,13,1,117000.0,flat,sale,59.0,,2,1,barrio Vírgenes,Madrid,Leganés,Centro,es,Vírgenes,40.327106,-3.7713112,False,https://www.idealista.com/inmueble/102097569/,177,"Oportunidad de inversión: inmueble alquilado. Renta actual: 619.95 €/mes. Fecha de fin de contrato: 02/2027.  Piso en Leganés, Madrid. Dispone de una superficie de 59 m² distribuidos en 2 habitaciones, salón-comedor con acceso a terraza, cocina amueblada y 1 baño completo con plato de ducha. El piso cuenta con suelos de parquet y armarios empotrados. Situado en una zona residencial del sur de la localidad, cerca de comercios, instalaciones deportivas, servicios, un centro educativo y paradas de autobús. Fácil acceso por la carretera M-402.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,False,1983.0,{'typology': 'flat'},"{'subtitle': 'Vírgenes, Leganés', 'title': 'Piso'}",True,False,False,False,False,False,,,,
2,2,2,103286336,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/6d/98/1184526191.jpg,2838M,10,,154900.0,flat,sale,52.0,True,1,1,barrio Vírgenes,Madrid,Leganés,Centro,es,Vírgenes,40.3278518,-3.7693174,False,https://www.idealista.com/inmueble/103286336/,185,"MAYA Consulting vende FANTASTICO PISO! En el CENTRO DE LEGANÉS. Ven a descubrir este MARAVILLOSO PISO. Distribuido en una habitación con salida a un patio de 9m2, 1 baño completo con ducha, cocina abierta al salón y agradable y cómodo salón. Patio al aire libre donde disfrutar del exterior con armario de aluminio de gran capacidad de almacenaje, preciosa habitación con amplio armario empotrado donde poder guardar todo lo que necesites. Baño completo y espacioso con plato de ducha, practica cocina totalmente equipada, con ventana para comunicar con un salón donde encontrar el relax diario necesario. Además, la vivienda cuenta con un amplio trastero de 6 m2  Situada en el barrio de ""Las Vírgenes"" en el centro de Leganés, a 5 minutos a pie de la estación de RENFE - Cercanías y METRO SUR ""Leganés Central"". Junto al Ayuntamiento y Plaza Mayor, cercana a los principales puntos de interés del municipio como el Hospital Severo Ochoa o la Universidad Carlos III. No dejes pasar esta oportunidad y llámanos para ampliar la información que necesites y visita este increíble piso que seguro reúne todas tus expectativas!",False,good,False,True,2979.0,{'typology': 'flat'},"{'subtitle': 'Vírgenes, Leganés', 'title': 'Piso'}",True,False,False,False,False,False,,,,
3,3,3,103515308,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/09/60/1191915494.jpg,SBRE-0096123,8,3,291000.0,flat,sale,151.0,,3,3,Calle el Charco,Madrid,Leganés,Centro,es,Casco Antiguo,40.3297934,-3.769495,False,https://www.idealista.com/inmueble/103515308/,188,"¿Quieres comprar un piso en Leganés (Madrid)? Excelente oportunidad de adquirir este piso, con una superficie de 150m2, ubicado en la localidad de Leganés, provincia de Madrid. Se trata de un piso muy amplio con dependencias grandes donde no tendrás problema de espacio. Cuenta con tres dormitorios y tres baños. Se encuentra en una edificación en manzana cerrada que se desarrolla en 4 plantas sobre rasante. Además, dispone de 3 plantas bajo rasante. Conjunto residencial plurifamiliar, entre medianeras, en manzana cerrada, con frente a las calles Charco y Vicente Aleixandre. Sobre rasante se constituye en dos bloques separados por un espacio de uso público peatonal identificado como calle Sor Domitila Arce Barro. La distribución por usos y plantas es la siguiente: Tiene tres plantas bajo rasante para uso garaje; planta baja con portales de acceso y diferentes locales; además de tres plantas altas para uso residencial con viviendas distribuidas en seis portales. Ubicación en el centro urbano de Leganés. Entorno delimitado por la calle Santa Teresa, el paseo de Colón, la avenida de la Universidad, la calle Fuenlabrada y la línea de Cercanías de RENFE. ***Actualmente, el inmueble se encuentra alquilado, por lo que no se adjuntan fotos del interior de este*** ¿Quieres más información sobre este piso? No dudes en ponerte en contacto con nosotros. Visita sin compromiso, sin comisiones de intermediación. Más información rellenando el formulario de contacto o por teléfono. Estaremos encantados de atenderte. Portal es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Portal cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia.",False,good,False,True,1927.0,{'typology': 'flat'},"{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Piso en Calle el Charco'}",True,False,False,False,False,False,,,,
4,4,4,102974143,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/c1/54/1177645110.jpg,SA 191229,30,2,310000.0,flat,sale,129.0,True,3,2,Perú,Madrid,Leganés,Centro,es,Batallas,40.3302053,-3.7700844,False,https://www.idealista.com/inmueble/102974143/,192,"Magnífica ubicación. Piso en urbanización privada. Distribuido en hall de entrada, tres dormitorios amplios y dos baños completos, un dormitorio en suite. Salón comedor con una pequeña terraza y vistas a las zonas comunes que proporcionan luminosidad y tranquilidad absoluta, cocina independiente. Puerta blindada, suelos en gres, armarios empotrados y vestidos. Calefacción independiente de gas natural, gastos de comunidad 120€. Trastero La urbanización cuenta con dos piscinas, adultos e infantil, cancha de baloncesto y praderas de césped. En el precio se incluye una plaza de garaje con escritura Independiemte. Contamos con transporte público, con la estación de metrosur SAN NICASIO (linea 12) a 12min andando, y varias lineas de bus N802). Es de fácil acceso por carretera y principales vías como M-40, A-5, R-5, M-45, A-42.",True,good,False,True,2403.0,{'typology': 'flat'},"{'subtitle': 'Batallas, Leganés', 'title': 'Piso en Perú'}",True,True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",{'groupDescription': 'Destacado'},,
5,5,5,102312372,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/ea/b0/1151508490.jpg,FA-019S,15,2,254000.0,flat,sale,127.0,True,4,1,barrio San Nicasio,Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,San Nicasio,40.3300421,-3.7692171,False,https://www.idealista.com/inmueble/102312372/,224,"API-SUR vende Inmueble sito en Bº de SAN NICASIO, compuesto de SALON. Compuesto de amplio Salón-Comedor, 4 dormitorios, 1 baño + aseo, cocina espaciosa y una terraza muy amplia, a pocos minutos de Renfe/Metro Leganés Central y todos los servicios a su disposición. Dispone de jardines privados y cancha de baloncesto. MEJOR VER.",False,good,False,True,2000.0,{'typology': 'flat'},"{'subtitle': 'San Nicasio, Leganés', 'title': 'Piso'}",True,False,False,False,False,False,,,,
6,6,6,103062325,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/ba/86/1176772259.jpg,SANTA ROSA,18,4,158000.0,flat,sale,73.0,True,3,1,santa rosa,Madrid,Leganés,Centro,es,Casco Antiguo,40.3296063,-3.7688093,False,https://www.idealista.com/inmueble/103062325/,226,"¿Buscas un piso en el centro de Leganés? ¡Este es tu hogar! Ubicado en la calle Santa Rosa, en una zona con gran variedad de comercios, supermercados y tiendas de barrio. Además, la estación de cercanías y Renfe están a pocos minutos a pie y la universidad Carlos III se encuentra a solo 5 minutos andando. Este piso en la cuarta planta es muy luminoso y cuenta con todo exterior, lo que lo hace aún más acogedor. Dispone de una entrada, un amplio salón, cocina, tres dormitorios, cuarto de baño y una terraza para disfrutar del aire libre. Además, tiene calefacción y aire acondicionado en el salón y dormitorio principal. Aunque el ascensor está en construcción, no te preocupes, ¡la ubicación lo compensa! Está junto al metro de Leganés Central y a solo 5 minutos de las diferentes líneas de autobús: 480, 484, 485 y 486 desde Leganés Central, 497 desde Av. de Fuenlabrada y 482 desde calle del cobre. No lo pienses más, ¡ven a visitarlo!",True,good,False,True,2164.0,{'typology': 'flat'},"{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Piso en santa rosa'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
7,7,7,102590654,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/2b/f2/1160579523.jpg,,17,3,155000.0,flat,sale,72.0,True,2,1,constitucion,Madrid,Leganés,Centro,es,Batallas,40.3299717,-3.7687464,False,https://www.idealista.com/inmueble/102590654/,251,"Agencia inmobiliaria de MADRID - zona LEGANÉS - Oficina Tecnocasa VENDE. 3ª planta exterior, muy luminosa con vistas despejadas y magnifica ubicación, cerca de  3 grandes avenidas de Leganés, fachada rehabilitada, ASCENSOR APROBADO EN JUNTA DE VECINOS. La vivienda se distribuye del siguiente modo: Amplio salón con salida a una  terraza abierta con vistas despejadas, 3 dormitorios, cocina  y cuarto de baño con ventana. Orientación OESTE. Opcional, compra de plaza de garaje en un parking cercano a la finca desde 6.000€. Muy bien comunicado, con rápido acceso por carretera, Cercanías línea C-5 (18 minutos a Atocha), Metro sur parada Casa del reloj a menos de 500m, Leganés central y Autobuses interurbanos directos a Aluche, Oporto entre otros. Cercano a la Universidad Carlos III y rodeado de Colegios, tanto de primaria como de secundaria. Zonas verdes. Cuenta con un Centro de Salud cercano. No dude en ponerse en contacto con nuestros asesores para más información o para concertar una cita para ver la vivienda.   ¡PREGUNTA POR LA FINANCIACIÓN CON KIRON! NO SE REFLEJA DIRECCIÓN EXACTA DE LA VIVIENDA POR PRIVACIDAD, LA DIRECCIÓN REFLEJADA EN EL ANUNCIO ESTA A ESCASOS METROS DE ELLA PARA QUE PUEDAN TENER UN PUNTO DE REFERENCIA DE DONDE SE UBICA EXACTAMENTE.  .",False,good,False,False,2153.0,{'typology': 'flat'},"{'subtitle': 'Batallas, Leganés', 'title': 'Piso en constitucion'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
8,8,8,102235163,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/66/b6/1148858836.jpg,RP1312023117394,16,1,146900.0,flat,sale,65.0,True,3,1,barrio San Nicasio,Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,San Nicasio,40.3309639,-3.7713673,False,https://www.idealista.com/inmueble/102235163/,252,"Magnífica vivienda en una zona rodeada de servicios. Se encuentra para entrar a vivir; dispone de tres dormitorios, salón con salida a terraza abierta, cocina y baño. Puerta blindada, carpintería exterior de aluminio, aire acondicionado. Puedes disfrutar de las posibilidades que te ofrece nuestro departamento financiero DCredit a la hora de tramitar tu hipoteca. ¡No lo dudes! Llama o acércate a nuestra oficina.",False,good,False,False,2260.0,{'typology': 'flat'},"{'subtitle': 'San Nicasio, Leganés', 'title': 'Piso'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
9,9,9,99720147,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/3e/48/1052288557.jpg,SE99V127V-52853794,20,2,153425.0,flat,sale,65.0,True,1,1,Calle San Nicasio,Madrid,Leganés,Centro,es,Casco Antiguo,40.3285799,-3.76797,False,https://www.idealista.com/inmueble/99720147/,274,"RAYMU vende todo tipo de inmuebles en la Comunidad Madrid. El precio mínimo puede variar en más o en menos dependiendo del stock (oferta) actual en ese momento, por lo que solicitamos visite nuestra web: para comprobar dichos precios y variedad, como es el caso de este inmueble.   Damos la bienvenida a este cómodo piso situado en Leganés, Madrid. El inmueble se distribuye en una habitación, salón-comedor, cocina y un baño. Ubicado en la 2a planta del edificio. Localizado en el corazón de Leganés. En sus alrededores encontramos el Hospital Psiquiátrico José Germain, escuelas, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús, la estación de metro Leganés Central y la estación de tren Leganés. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a M-425.   No se pierdas esta oportunidad de encontrar la casa perfecta para Vd. Con nuestros servicios podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Llámenos, solicítenos realizar visita y denos su opinión, estaremos encantados de atenderle.",False,good,False,False,2360.0,{'typology': 'flat'},"{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Piso en Calle San Nicasio'}",False,False,False,False,False,False,,,,
