,index,propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,superTopHighlight,externalReference,floor,exterior,district,neighborhood,hasLift,parkingSpace,labels
0,0,102839647,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/3e/a2/1169056872.jpg,18,19000.0,chalet,sale,121.0,3,1,vallejo,Guadalajara,Horche,es,40.5642523,-3.0651656,False,https://www.idealista.com/inmueble/102839647/,54700,"Agencia inmobiliaria de Yebes zona VALDELUZ - HORCHE - CHILOECHES Oficina Tecnocasa situada en C/ Encina nº2 (Valdeluz): EN VENTA: CASA ADOSADA a reformar, situada en pleno centro de Horche, rodeado de todo tipo de servicios a su alrededor como supermercados, transporte publico, rápida salida a la autovía A2 y N-320, bancos, pequeños comercios, colegio, farmacia, centro de salud, zonas verdes, parking, etc. Cabe destacar la proximidad del municipio al Hospital Universitario de Guadalajara y al centro comercial. Se encuentra a 8 minutos de Guadalajara Capital y a 35 minutos de Madrid por lo que su ubicación es excelente. - En planta baja nos encontramos un hall recibidor, dos habitaciones una de ellas con baño. - En planta primera nos encontramos con una cocina con ventana, salón. - En planta ultima nos encontramos con una gran habitación, y una buhardilla con el tejado totalmente reformado. Cabe destacar la gran inversión que se ha realizado en sustituir el tejado por un tejado totalmente reformado en muy buenas condiciones. ¡OPORTUNIDAD! ¡No dudes en venir a verla porque puede ser lo que estas buscando! Además te recordamos que te ayudamos con la financiación de la vivienda gracias a nuestro departamento financiero KIRON. Hasta el 100% de la hipoteca. INFÓRMATE SIN NINGÚN TIPO DE COMPROMISO EN NUESTRA OFICINA O LLÁMANOS AL TELÉFONO QUE APARECE EN EL ANUNCIO.",False,renew,False,157.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'Horche', 'title': 'Chalet pareado en vallejo'}",False,False,False,False,{'groupDescription': 'Destacado'},False,False,,,,,,,,
1,1,103051720,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/f5/c7/1176405725.jpg,22,136500.0,flat,sale,38.0,1,1,Plaza Barbatain,Madrid,Madrid,es,40.3768727,-3.7376675,False,https://www.idealista.com/inmueble/103051720/,7868,"Piso a estrenar de un dormitorio en Plaza Barbatain. Vivienda localizada en un edificio con ascensor ubicado en Plaza Barbataín, dentro de una zona tranquila y bien comunicada.  Con una superficie construida aproximada de 38 m2 distribuida en salón-comedor, cocina, un dormitorio y un baño A destacar: -Incluido en el precio plaza de parking y trastero. -Urbanización con piscina comunitaria. -Aire acondicionado con bomba de frío y calor de uso individual -Cocina amueblada -Armarios empotrados -Ventanas de aluminio con rotura de puente térmico y cristales tipo climalit -Puerta principal blindada. Además, en el entorno de la zona le brinda la oportunidad de tener al alcance todos los servicios:  -Metro carabanchel y Vistalegre -Palacio de congresos -Zonas verdes EUGENIA DE MONTIJO -Centros de Salud y Hospitales -Colegios e Institutos públicos, concertados y privados -Supermercados-Al lado de la comisaria de policía No pierda la oportunidad de agendar una visita, NO COBRAMOS COMISION AL COMPRADOR.",False,good,False,3592.0,{'typology': 'flat'},"{'subtitle': 'Puerta Bonita, Madrid', 'title': 'Piso en Plaza Barbatain'}",False,False,False,False,,False,False,R0102289-1,4,True,Carabanchel,Puerta Bonita,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
2,2,102562115,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/26/6b/1159668505.jpg,28,469000.0,flat,sale,148.0,3,2,Calle del Caribe,Madrid,Madrid,es,40.4429196,-3.6563413,False,https://www.idealista.com/inmueble/102562115/,2937,"Agencia inmobiliaria de Madrid zona NUEVO MUNDO - SAN PASCUAL Tecnocasa OFICINA NUEVO MUNDO - SAN PASCUAL: VENTA DE NUDA PROPIEDAD LLAMAR A THOMAS 6 5 4 0 1 4 4 9 9 Estupenda vivienda en una zona excelente. Vivienda de tres dormitorios (4º dormitorio ampliado a la cocina - comedor) salón con terraza amplia hacia con vistas a las zonas comunes, cocina-comedor y dos baños. Terraza abierta con preciosas vistas hacia el jardín. La vivienda es exterior tanto habitaciones como cocina, salón. La cocina se encuentra totalmente reformada, amueblada y equipada. El luminoso salón-comedor con estancias totalmente diferenciadas, de orientación Sur-Este. Calefacción individual de Gas Natural, ventanas de climalit, suelos de parqué, pintura lisa en toda la vivienda y edificio con dos ascensores y un monta cargas. Portero físico de lunes a viernes y los fines de semana, gimnasio, sauna, cuarto de bicicletas, salón-local para eventos, fiestas y reuniones comunitarias. Muy bien comunicada con la red de autobuses, metro, parada de taxi, y con acceso en un minuto a las M-30, una de las principales vías de la ciudad.",False,good,False,3169.0,{'typology': 'flat'},"{'subtitle': 'San Pascual, Madrid', 'title': 'Piso en Calle del Caribe'}",False,False,False,False,,False,False,NUEVO MUNDO 1,5,True,Ciudad Lineal,San Pascual,True,,
3,3,92701959,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/1b/aa/1151017319.jpg,2,138000.0,flat,sale,90.0,3,2,"Calle de Castillejos, 9",Madrid,Madrid,es,40.4560448,-3.7065657,True,https://www.idealista.com/inmueble/92701959/,2446,APROVECHA EL DESCUENTO + GASTOS NOTARIALES GRATIS* Solo hasta el 31/12/2023. *Ver bases legales  . Oportunidad de inversión: pendiente de Posesión. Piso en la localidad de Madrid capital. Cuenta con una superficie de 90 metros cuadrados.,False,good,False,1533.0,{'typology': 'flat'},"{'subtitle': 'Bellas Vistas, Madrid', 'title': 'Piso en Calle de Castillejos, 9'}",False,False,False,False,,False,False,2298##29002339,,,Tetuán,Bellas Vistas,,,
4,4,99368891,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/4d/32/1041721030.jpg,14,50800.0,chalet,sale,177.0,3,2,Calle Segovia s/n,Toledo,Chozas de Canales,es,40.0926282,-4.0464746,True,https://www.idealista.com/inmueble/99368891/,48843,"Casa en la provincia de Toledo, en el municipio de Chozas de canales, en la calle CLSEGOVIA.",False,good,False,287.0,{'typology': 'chalet'},"{'subtitle': 'Chozas de Canales', 'title': 'Chalet en Calle Segovia s/n'}",False,False,False,False,,False,False,0045536874,,,,,,,
5,5,102934648,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/69/08/1172301682.jpg,8,91000.0,flat,sale,102.0,1,1,Centro - Casco Histórico,Madrid,San Lorenzo de El Escorial,es,40.5944721,-4.1479799,False,https://www.idealista.com/inmueble/102934648/,42420,"GARSIERRA. Espacioso piso en San Lorenzo de El Escorial, Madrid, idóneo para parejas. La vivienda consta de 102 m² construidos distribuidos en una habitación, salón-comedor, cocina y un aseo. Ubicado en el sótano del edificio, sin ascensor. Está ubicado en el corazón de San Lorenzo de El Escorial, en sus alrededores encontramos la Escuela de Educación Infantil Trébol, supermercados, bancos, bibliotecas, farmacias, oficinas de correos y varias paradas de autobús. Cuenta con fácil acceso a C. las Pozas.",False,good,False,892.0,{'typology': 'flat'},"{'subtitle': 'Centro - Casco Histórico, San Lorenzo de El Escorial', 'title': 'Piso'}",False,False,False,False,,False,False,SAN LORENZO,bj,True,Centro - Casco Histórico,,False,,
6,6,101491782,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/27/a6/1123757409.jpg,80,1225000.0,chalet,sale,1250.0,9,8,"Calle asturias, 21",Madrid,Villaviciosa de Odón,es,40.357399,-3.8754036,True,https://www.idealista.com/inmueble/101491782/,18037,"S15 Real Estate comercializa en EXCLUSIVA, SIN COMISIONES PARA EL COMPRADOR, esta espléndida propiedad en la Urbanización de Campondón, Villaviciosa de Odón.,  Propiedad construida sobre una estupenda parcela de 4000m2, que cuenta con dos chalet independientes, piscina, pista de tenis, una fantástica barbacoa, zona ajardinada muy arbolada, y perfectamente consolidada. La casa principal cuenta con un total de 1.105m2 construidos, su precio 1.225.000€, La otra casa, con un total de 150 m2, su precio 725.000€ La casa principal dispone de tres plantas, con la siguiente distribución, Planta sótano encontramos amplio distribuidor desde el que accedemos por un lado a un fantástico salón con bodega, zona de juego con mesa de billar, aseo y un dormitorio con zona de estar y baño. Por otro lado, a dos dormitorios con baño y por último a un amplio garaje con zona de trastero. Planta principal, dispone de una terraza cubierta con arcada perimetral. Accedemos a la vivienda encontrando un elegante recibidor con armario gabanero y puerta acristalada que da acceso a un amplio salón comedor, dispuesto en dos alturas, por un lado, zona de comedor y por otro, zona de estar con chimenea.  Continuamos y accedemos a la cocina, totalmente reformada, que dispone de zona de office, salón comedor, con cuarto despensa, zona de lavado y planchado. En esta zona, junto al cuarto de plancha, encontramos un dormitorio de servicio con baño. Regresamos al Salón-comedor donde encontrando a la derecha una zona independiente, con dos dormitorios, dos baños, pequeña cocina y un precioso salón con chimenea al que se puede acceder, de forma independiente, desde la entrada principal. Subimos a la primera planta, distribuidor y zona de dormitorios. Dormitorio principal con baño completo en suite, vestidor y terraza. Otros dos dormitorios, un baño completo, terraza y zona vestidor. La construcción es de cimentación en zanja corrida, muros de ladrillo macizo y estructura de acero laminado, formados de cerámica armada, cubierta de teja curva. Ultima reforma realizada en 2011. La segunda casa, totalmente reformada, dispone de dos plantas.  Se trata de una propiedad con una fantástica luminosidad gracias al acristalamiento que rodea la planta principal.  La planta principal, es la planta alta de la vivienda, cuenta con un salón totalmente acristalado y con chimenea. Baño con ducha, cocina y estancia que actualmente es un despacho. La planta inferior, que da acceso al jardín y pista de tenis, encontramos zona de lavandería, un dormitorio, y el dormitorio principal con amplio baño en suite. Toda la vivienda dispone de ventanas de seguridad, con persianas eléctricas. Aire acondicionado independiente en las dos plantas. Luces regulables en toda la vivienda. La zona exterior encontramos un precioso jardín con piscina en perfecto estado, zona de barbacoa con mesas de piedra en zona ajardinada. Pista de tenis.   Amplio garaje semicubierto para unos 8 coches, con puerta de acceso automática. Se trata de una propiedad con muchas posibilidades, exclusiva en la lujosa urbanización de Campodón, en Villaviciosa de Odón, que se encuentra a tan sólo 15 minutos del centro de Madrid. Esta urbanización dispone de todos los servicios principales a mano, supermercados, centro de salud, hospitales públicos y privado, colegios, universidades, restaurantes, centros comerciales, farmacias, centros de salud y centros deportivos.  Bosque Forestal que une con la senda del Castillo preciosa zona natural y protegida.",True,good,False,980.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Castillo - Campodón, Villaviciosa de Odón', 'title': 'Casa independiente en Calle asturias, 21'}",True,False,True,False,,False,False,,,,Castillo - Campodón,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","[{'name': 'villaType', 'text': 'Villa'}]"
7,7,99767067,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/a5/5a/1172117334.jpg,1,73700.0,duplex,sale,82.0,2,1,Centro,Madrid,Arganda,es,40.3029476,-3.4459013,False,https://www.idealista.com/inmueble/99767067/,25569,"Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.Vivienda estilo dúplex en venta de 2 dormitorios en la localidad de Arganda del Rey, provincia de Madrid. Situada a 10 minutos del Ayuntamiento de la localidad con buenas comunicaciones tanto por transporte público (autobuses líneas 1, 2, 285, 313, metro línea 9), como por privado, con fácil acceso a las carreteras N-III, R-3 y A-3 en pocos minutos. La zona está dotada de todos los equipamientos, centro comercial Zoco, colegios, hospital universitario del sureste, centros oficiales, etc.)La vivienda fue construida en 1961, tiene una superficie de 82 m² distribuidos en salón-comedor, cocina amueblada, 2 dormitorios y 1 baño. Con los servicios de Solvia podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. Si a fecha de venta el vendedor hubiese demandado judicialmente la ocupación, podrá el adquirente subrogarse en dicha demanda, no pudiendo reclamar importe alguno al vendedor como consecuencia de ello, salvo por los honorarios de abogados y procuradores que hasta la fecha de la transmisión se hubiesen devengado que, en cualquier caso, serán por cuenta de éste. Si en la fecha de venta, el vendedor hubiese interpuesto una denuncia penal, que se encontrase en curso, se comunicará al Juzgado la venta, apartándose el vendedor del procedimiento como acusación particular. El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impiden i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación, no podrá ser hipotecado. En consecuencia, no podrá constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética (en el caso de que el activo lo requiera). Se recomienda que el comprador obtenga asesoramiento profesional antes de adoptar la decisión de compra., El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. Si a fecha de venta el vendedor hubiese demandado judicialmente la ocupación, podrá el adquirente subrogarse en dicha demanda, no pudiendo reclamar importe alguno al vendedor como consecuencia de ello, salvo por los honorarios de abogados y procuradores que hasta la fecha de la transmisión se hubiesen devengado que, en cualquier caso, serán por cuenta de éste. Si en la fecha de venta, el vendedor hubiese interpuesto una denuncia penal, que se encontrase en curso, se comunicará al Juzgado la venta, apartándose el vendedor del procedimiento como acusación particular. El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impiden i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación, no podrá ser hipotecado. En consecuencia, no podrá constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética (en el caso de que el activo lo requiera). Se recomienda que el comprador obtenga asesoramiento profesional antes de adoptar la decisión de compra.",False,good,False,899.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Centro, Arganda', 'title': 'Dúplex'}",False,False,False,False,,False,False,CG-71213-0001,bj,,Centro,,False,,
8,8,99327208,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/e2/67/1040450343.jpg,16,79000.0,duplex,sale,120.0,2,2,Paseo de Aranjuez,Toledo,Yepes,es,39.9033362,-3.6163129,False,https://www.idealista.com/inmueble/99327208/,59759,"ADAIX YEPES VENDE ESTE Espectacular ático duplex De 2 dormitorios con 120m2 Dormitorio matrimonio en planta baja, Junto a cocina independiente, salón con terraza y un baño. Planta de arriba 2 dormitorios con vista al campo y otro baño, terraza ático arriba con mosquiteras. Caldera recién comprada de Yunker con tique de compra y garantía nueva. Totalmente Amueblado y con armarios empotrados lámparas nuevas vitrocerámica nueva bosh, horno lavadora lavavajillas. Cama empotrables una y otra matrimonio.  Piscina y jardín.  CON FINANCIACIÓN 100x100+ GASTOS solo con tu nómina y si AVALES. Ubicación: se encuentra a 10 minutos de Aranjuez Y a solo 35 minutos de Madrid con excelentes comunicaciones con la A_4 Además el municipio cuenta con una línea de autobuses con estas localidades. Dispone de centros educativos (I. E. S Carpetania, C. P Juan de YEPES) instalaciones deportivas(Polideportivo municipal, campo de fútbol, Piscina, Municipal) y centro sanitario (Centro de Salud de Yepes). TENEMOS CASAS PARA TODOS LOS BOLSILLOS  Pide más información por privado sin compromiso.  DONDE ESTAMOS �Calle hospital nuevo n 1 (YEPES)�.",False,good,False,658.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Yepes', 'title': 'Dúplex en Paseo de Aranjuez'}",False,False,False,False,,False,False,,1,True,,,True,,
9,9,98770838,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/35/a1/1105613365.jpg,1,349000.0,flat,sale,57.0,2,1,Calle José Antonio s/n,Toledo,Ciruelos,es,39.9374071,-3.6157255,True,https://www.idealista.com/inmueble/98770838/,55998,"Obra paralizada-18 unidades en la provincia de Toledo, en el municipio de Ciruelos, en la calle JOSE ANTONIO. CON INCIDENCIA: OBRA PARALIZADA.",False,good,False,6123.0,{'typology': 'flat'},"{'subtitle': 'Ciruelos', 'title': 'Piso en Calle José Antonio s/n'}",False,False,False,False,,False,False,LT49714978,,,,,,,
